Name,Ward No,Block Number,North,East,South,West
Amit Dixhit,6,7,Satrting from the amar singh thakur niwas moving along the road upto bal krishan verma building covering thakur niwas 1 and thakur niwas 2,"From bal krishan building walking upto vashisht niwas and then downwards upto pine view cottage covering kanwar niwas, bains niwas, addi niwas",from the pine view cottage walking upto kaliya niwas,from the kaliya niwas moving upwards upto amar singh thakur niwas
Amit Dixhit,5,37,Starting from Gargi Girls Hostel Road moving towards HPU Girls hostel (up to),From HPU Girls Hostel moving towards jungle area along virtual boundary upto Tribal hostel.,From tribal Hostel moving along up to road going to HPU(excluded).,From this point HPU(excluded) moving towards the Gargi Girls Hostel Road which is point of start
Amit Dixhit,8,17,Starting from Gurudwara and moving along the path leading towards NH up to point opposite of HP Filling Station (excluded) near building under Construction of sh. Jai Singh Mandhotra.,From HP Filling Station (excluded) near building under Construction of sh. Jai Singh Mandhotra moving along the road towards Chakkar up to rain shelter below Govt Primary School (included).,From the rain shelter moving upwards along the stairs leading up to MC Toilets (excluded) near HP Govt School Teachers house.,From MC Toilets (excluding) near HP Govt School Teachers house moving towards Boileauganj up to Gurudwara.
Amit Dixhit,5,35,"Starting from HPU Ground moving along road covering AG Colony, Bilaspur house up to intersection with Shiv body Lower summer hill road near May Villa.","From this intersection near May Villa moving towards ARTRAC School (up to, excluded) near Balwant Cottage.",From behind of ARTRAC School (excluded) near Balwant Cottage moving behind Type III Qtrs (excluded) moving virtually behind up to Electricity Office (excluded) near Krishna Niwas,From Electricity Office (excluded) near Krishna Niwas moving virtually moving upwards up to University Ground.
Amit Dixhit,4,31,Starting from Jhalta Niwas going along the stairs to main road up to building under construction on main road,"From building under construction on main road, move down the road up to u-turning point near Kotkhai House.",From u-turning point near Kotkhai House on road move towards bus stand up to Govt school.,"From Govt School cover main market building, college and move along the path going up covering houses on right up to Jhalta niwas."
Amit Dixhit,8,20,Starting from junction point of Boileauganj-Chakkar road near Tawi Chowk and Boileauganj-Totu road moving towards Jagat Sweets covering houses on right (Kamna Devi Area) up to Jagat Sweets (excluded),"From Jagat Sweets(excluding), moving towards the road going to Gurudwara Boileauganj(excluded) and then moving along the road up to point below CPWD Type III Qtrs",From this point moving upwards along the imaginary boundary up to Type III Qtrs and then moving behind the quarters covering them and then descending down along the path towards Gol Market up to junction where stairs meet road near type-1 block-2 forest colony.,From this point near type-1 block-2 forest colony moving towards Totu via Shimla Bilaspur road up to the junction of this road with road near Tawi Chowk going towards Boileauganj which is point of start
Amit Dixhit,4,30,Starting from jungle area near 102 INF BN T A Punjab army barrack moving from behind the houses up to Jhalta Niwas (excluded) near Mobile Tower.,From Jhalta Niwas(Excluded) near mobile Tower moving along the path towards Annadale Bus stop and shops on right up to Shopping Complex (excluded) near PDS Shop.,From shopping complex (excluding) near PDS Shop moving along bus stand moving towards along the path through jungle area up to virtual boundary in jungle near house of Shri Tribhuvan.,From this point near house of Shri Tribhuvan moving towards army barracks (excluded) along jungle virtual boundary up to point of start near 102 INF BN T A Punjab army barrack .
Amit Dixhit,4,12,Starting from jungle area near Shimla British Resort moving towards Comely Bank area up to Harlom Bhawan on corner,From Harlom Bhawan moving towards Mall road along the stairs upto Hotel Landmark near ward boundary above victory tunnel.,"From Hotel Landmark near ward boundary above Victory Tunnel moving along cart road towards Hotel Cecil covering Gorton Castle, Vidhan Sabha up to Knockdrin near Shimla Sanitorium (excluded)",From Knockdrin near Sanitorium (excluding) moving towards Comely Bank area virtually through the jungle up to the point near Shimla British Resort which is point of start
Amit Dixhit,8,33,Starting from Kamna Devi Temple moving towards CPWD Type III Qtrs (excluding) moving along the stairs going downwarsd up to Sri Ram Cottage and then to point on Boileauganj-chakkar road via imaginary boundary,"From this point moving towards BJP Office (excluded) and then to UCO Bank (up to, excluded) in Gol Market",From Uco Bank (excluded) moving towards path leading to Kamna Devi Temple covering shops and school on the right up to point opposite HP Irrigation Work Building,From point opposite HP Irrigation Work Building moving along the stairs/path up to Kamna Devi covering all houses on right which is point of start
Amit Dixhit,8,15,"Starting from lane between Police Station (excluding) and Masjid Complex (including) moving towards Mall road covering Arcadia, NSO, Deepak Project up to new Circuit House (excluding) and Beverley Kothi 1",From new Circuit House (excluding) and Beverley Kothi 1 moving downwards to main road opposite RTO (excluding) coming upto GST Office.,"From GST Office moving towards Boileauganj covering MLA Crossing, Rain Shelter up to Ground opposite Gopal Mandir (excluded)",From ground moving along Azad Cotton Works (including) then moving towards road through the alley between Masjid Complex and Police Station which is point of start
Amit Dixhit,5,21,Starting from nala on town boundary near Ram niwas building and shimla Havens Resort (excluded) moving upwards up to Ram Villa then moving upwards along virtual boundary up to Laxmi Niwas (included) and then up to ARTRAC public School (excluded) and then upto CPWD Qtrs on left side of road the through virtual boundary towards road (summer hill rly stn to bganj) near CPWD Qrtrs.,From CPWD Qrtrs moving towards Boileauganj covering houses on right up to Jagat Sweets (included) in Boileauganj.,From Jagat Sweets moving towards Totu via the road up to tunnel near Tawi Mor near Temple.,From this temple moving along the town boundary virtually through the jungle up to nala which is point of start
Amit Dixhit,5,28,Starting from north west corner of Girls Auditorium moving towards jungle along virtual boundary,From this point moving along the virtual boundary in jungle up to point below Renuka Girls Hostel,From this point moving towards Renuka Girls Hostel up to south west corner of hostel,From south west corner of Girls Hostel moving towards north west corner of Girls Auditorium (up to)
Amit Dixhit,5,25,Starting from north west corner of Irawati Girls Hostel moving up to north east corner of Irawati Girls hostel (near canteen),From north east corner of Irawati Girls Hostel(Canteen) moving towards south east corner of Giri Ganga Girls Hostel,From south east corner of Giri Ganga Girls Hostel moving to south west corner of Giri Ganga Girls Hostel,From south west corner of Giri Ganga Girls Hostel moving to north west corner of Irawati Girls Hostel
Amit Dixhit,5,4,Starting from north west corner of SBS Boys hostel moving towards north east corner of SBS Boys Hostel,From north east corner of SBS Boys hostel moving towards south east corner of SBS Boys hostel,From south east corner of SBS Boys Hostel moving towards south west corner of SBS boys hostel,From south west corner of SBS boys hostel moving towards north west corner of SBS boys hostel
Amit Dixhit,5,5,Starting from north west corner of Tagore Boys Hostel moving up to north east corner of Tagore Boys hostel,From north east corner of Tagore Boys Hostel moving towards south east corner of Tagore Hostel,From south east corner of Tagore Boys Hostel moving to south west corner of Tagore Boys Hostel,From south west corner of Tagore Boys Hostel moving to north west corner of Tagore Boys Hostel
Amit Dixhit,5,29,Starting from north west corner of Vidyottama Girls Hostel moving towards jungle area along virtual boundary,Continuing virtually on jungle area covering Saraswati Girls Hostel moving along the jungle area,Again moving virtually through jungle area moving towards HPU Girls Hostel (excluded),IFrom here moving towards south west corner of Vidyottama Girls Hostel and then towards north west corner of Vidyottama Girls hostel which is point of start
Amit Dixhit,5,3,Starting from north west corner of YSP Boys Hostel moving up to north east corner of YSP Boys hostel,From north east corner of YSP Boys Hostel moving towards south east corner of YSP Hostel,From south east corner of YSP Boys Hostel moving to south west corner of YSP Boys Hostel,From south west corner of YSP Boys Hostel moving to north west corner of YSP Boys Hostel
Amit Dixhit,8,32,Starting from PDS Shop (excluded) near Police Post moving on Chaura Maidan Road up to Boileauganj Police Station,From Boileuganj Police Station moving downwards through the alley between PS and Masjid Complex near Azad Cotton Works moving up to Gopal Mandir (excluded) near Ernest Lodge.,From Gopal Mandir (excluding) near ernest Lodge moving down along the road up to BSNL Office (Shiv Shakti Bhawan) covering buildings on right.,From BSNL Office (Shiv Shakti Bhawan) moving upwards along stairs up to PDS Shop on corner (excluded) near Police Post.
Amit Dixhit,4,10,Starting from point in jungle area below MC Toilets on Police line road moving towards the road along imaginary boundary Govt Primary School nera MC Toilets.,From Govt School near MC Toilets Moving along the road towards Comely Bank Area covering buildings on right up to Saraswati Bhawan.,From Saraswati Bhawan moving towards Mall Road up to Shanti Cottage on corner,From Shanti Cottage moving along the virtual boundary towards jungle area and then moving through the jungle up to point of start MC Toilets.
Amit Dixhit,4,11,Starting from Police Parade Ground and moving along the road covering High Court Guest House up to Royale Retreat,From Royale Retreat moving towards Himfed Cooperative along path and up to Hotel Anfield (behind Hotel Landmark - excluded),From Hotel Anfield moving along the path behind Hotel Landmark through jungle up to Strathmore building in Comely Bank Area,From Strathmore Building moving along the road towards Police Ground (up to)
Amit Dixhit,5,34,"Starting from rain shelter (excluded) near Toilets , university (excluded) moving along the road up to Indian Institute of advanced Studies Gate.",From Advanced Studies main gate and then up to Deepika Canteen (excluded) near Observatory House.,From Deepika Canteen (excluded) near Observatory house moving towards Boileauganj up to Jagat Sweets (excluded) near Govt Primary School.,From Jagat Sweets (excluding) near Govt Primary School moving towards HP University (excluding) up to rain shelter (point of start) near Toilets.
Amit Dixhit,8,16,Starting from Rain Shelter near Gurudwara (excluded) moving towards Boileauganj Police Station up to corner then moving down the stairs towards BSNL Office (excluded) and then covering Directorate of Agriculture on right and moving towards road towards Gopal Mandir (including) and up to MLA Crossing.,From MLA Crossing moving along Shimla Bilaspur road up to point opposite to entrance of Shimla ISBT Parking (excluded) near old Shops.,From the point opposite to entrance of Shimla ISBT Parking (excluded) near old Shops moving towards Chakkar along Shimla Bilaspur road up to the point opposite of HP Filling Station (excluded) near Himachal Engg.,From point opposite of HP Filling Station (excluding) near Himachal Engg. moving upwards through the stairs covering SBI Holiday Home up to Gurudwara (excluded) near Rain shelter which is point of start.
Amit Dixhit,5,36,Starting from rain shelter on MI Rooms road moving towards Railway Station (excluded) up to the point of entry to Teachers Colony road near Gorkha School,From Gorkha School moving along the road towards Forty Flats up to Corner of University Ground (excluded) near Electricity Office.,From corner of University Ground (excluding) near Electricity Office moving down along a virtual boundary up to Electricity Office In Lower Summer Hill and then moving along the road covering bridge up to police post (cylinders) near MI Rooms near Chandel home Delivery Shop.,From Police Post near Chandel Home Delivery Shop near MI Rooms moving upwards along the road covering all the houses on right up to point below Everest Colony (excluded) then moving along virtual boundary such that excluding Everest colony and houses behind Everest Colony up to the road and then moving back to the rain shelter which is point of start
Amit Dixhit,5,26,Starting from Rajkumari Amrit Kaur Guest House in HPU moving towards University main entrance along the University boundary covering whole of HPU up to main gate,"From main gate of HPU moving along the road towards Boileauganj covering Hotel Ganga, ITBP Guest House, Rickshaw Shed and then along the road up to the point where road coming from Railway Station meets this road near Riksha shed.",From this point near Riksha Shed moving towards Railway station up to the cut going to AG Colony (excluded) then along this cut moving along the path up to University Ground (excluded) near Labour Qurtrs.,From University ground(Excluded) near Labour Qrtrs moving virtually behind the Teachers colony then along the road towards Sangti road up to rain shelter on road then moving virtually along the boundary of University up to point of start
Amit Dixhit,8,19,Starting from Shakuntala niwas move on path leading to Shimla Bilaspur road covering old Shakuntala Niwas and Hari Shankar Provisional Store and UCO Bank then down along an imaginary boundary near Hari Ashram (excluding) up to Shimla-Bilaspur Road,From this point moving along the Shimla-Bilasppur road covering houses on right up to the house of Kashmiri Chand,From house of Kashmiri Chand moving on Shimla Bilaspur road up to Ramdass Niwas near Gol bazaar.,From Ramdass Niwas near Gol Bazaar moving upwards to Gol Market up to house of Shakuntala Niwas which is point of start.
Amit Dixhit,5,22,Starting from Shimla Greens on Town boundary moving along the road covering Andri Bus Stop and then moving from behind of Military Qtrs (excluded) up to Indira Cottage (opp ARTRAC School - excluded).,From Indira Cottage moving along the virtual boundary along boundary of block 21 up to Ram Villa (excluded) and then on to nala near house of Mast Ram.,From Nala near house of Mast Ram moving along the nala towards town boundary (up to) near Simla Havens.,From town boundary near Shimla Havens moving along the town boundary up to Shimla Greens which is point of start.
Amit Dixhit,8,18,Starting from stairs near MC toilets moving downwards to Om Annexe and govt primary and middle school(excluding school) to rain shelter on Shimla Bilaspur road,From rain shelter moving along the road up to Hari Asharm on Shimla Bilaspur road,From the Hari Ashram moving upwards along imaginary boundary leading up to Uco Bank (excluded),"From Uco bank (excluding) covering BJP building (Kamal Bhawan), unique villa up to stairs near MC toilets which is point of start"
Amit Dixhit,7,22,starting from tadiyal house along the railway track and ward boundary walking upto the stairs alongside the vacant plot.,"From the vacant plot along the stairs downwards upto the mahant niwas on the airport road covering kansi ram building, bhardwaj niwas, house of ram singh rohat",From the mahant niwas on airport road upto the shankar niwas,"From the shankakr niwas walking on way upwards upto the tadiyal house along the ward boundary covering devendra bhawan, naraynani niwas, sunder singh niwas"
Amit Dixhit,7,3,Starting from the bhagwati niwas moving along the new totu road upto tawi chowk covering tehsildar building and hotel divine hills,from tawi chowk moving along the town boundary upto krishna bhawan along the railway track,From krishna bhawan moving along the railway track covering houses like shamlal building and upto thakur building.,From thakur building moving along the stairs upwards upto new totu road at bhagwati niwas.
Amit Dixhit,7,18,"Starting from the chetna niwas along the railway track moving upto the dev niwas covering kondal niwas, happy home, bajeera niwas","From the dev niwas walking downstairs upto the house of layak ram building covering dayanand saraswati niwas, durga mandir, vinod cottage.","From the layak ram building walking upto the krishna bhawan b.ed hostel building covering the home sarita lodge, urmil bhawan",From the krishna bhawan moving upstairs upto the chetna niwas covering animal feed shelter.
